title,region__title,country_title
Быльники (Смоленская область),Смоленская область,Россия
"Бым (Пермский край, Кунгурский район)",Пермский край,Россия
Бытошь (Брянская область),Брянская область,Россия
Вавож,Удмуртская Республика,Россия
"Вагай (Тюменская обл., Вагайский р.)","Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Вад,Нижегородская область,Россия
"Ваймуша (Архангельская об, Пинежский р.)",Архангельская область,Россия
"Вайялово (Ленинградская, Гатчинский р)",Ленинградская область,Россия
Валдай,Новгородская область,Россия
Валуйки,Белгородская область,Россия
Валуйчик (Белгородская область),Белгородская область,Россия
Валы (Самарская область),Самарская область,Россия
Ванино,Хабаровский край,Россия
Ваныш-Алпаутово (Республика Башкортоста),Республика Башкортостан,Россия
Варандей (Архангельская область),Архангельская область,Россия
Варваровка (Амурская область),Амурская область,Россия
Варгаши,Курганская область,Россия
Варегово (Ярославская область),Ярославская область,Россия
Варениковская,Краснодарский край,Россия
Вареновка (Ростовская область),Ростовская область,Россия
Варламово (Самарская область),Самарская область,Россия
Варна,Челябинская область,Россия
Вартемяги (Ленинградская область),Ленинградская область,Россия
Варфоломеевка,Приморский край,Россия
Варшко,Ленинградская область,Россия
Васильевка (Абдулинский район),Оренбургская область,Россия
"Васильевка (Пензенская, Бессоновский)",Пензенская область,Россия
Васильевка (Ставропольский район),Самарская область,Россия
Васильево,Республика Татарстан,Россия
Васильково (Гурьевский район),Калининградская область,Россия
Вассино (Новосибирская область),Новосибирская область,Россия
Васьково (Архангельская область),Архангельская область,Россия
Васюринская,Краснодарский край,Россия
Ватутинки,Московская область,Россия
Вахрушево,Челябинская область,Россия
Вахруши,Кировская область,Россия
Вейделевка,Белгородская область,Россия
Велиж,Смоленская область,Россия
Великая Губа (Республика Карелия),Республика Карелия,Россия
Великие Луки,Псковская область,Россия
Великий Устюг,Вологодская область,Россия
Великовечное,Краснодарский край,Россия
Величаевское,Ставропольский край,Россия
Вельск,Архангельская область,Россия
Вельяминово (Московская область),Московская область,Россия
Венгеровка (Белгородская область),Белгородская область,Россия
Венгерово,Новосибирская область,Россия
Венев,Тульская область,Россия
"Вербилки (Московская обл, Талдомский р.)",Московская область,Россия
Верещагино,Пермский край,Россия
Верея,Московская область,Россия
"Верзилово (Московская обл, Ступинский р)",Московская область,Россия
Верх-Ирмень,Новосибирская область,Россия
Верх-Коен (Новосибирская область),Новосибирская область,Россия
Верх-Нейвинский (Свердловская область),Свердловская область,Россия
Верх-Тула,Новосибирская область,Россия
Верх-Уймон (Республика Алтай),Республика Алтай,Россия
Верх-Усугли,Забайкальский край,Россия
Верх-Чебула,Кемеровская область,Россия
Верх-Чита,Забайкальский край,Россия
Верхнебаканский,Краснодарский край,Россия
Верхнебелое (Амурская область),Амурская область,Россия
Верхнебузулукский (Оренбургская область),Оренбургская область,Россия
Верхневилюйск,Республика Саха,Россия
Верхнеднепровский,Смоленская область,Россия
Верхнее Дуброво,Свердловская область,Россия
Верхнее Казанище,Республика Дагестан,Россия
Верхнеигнашкино (Оренбургская область),Оренбургская область,Россия
Верхнеказымский (ХМАО),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
"Верхнемарково (Иркутская, Усть-Кутский)",Иркутская область,Россия
Верхнерусское (Ставропольский край),Ставропольский край,Россия
Верхнетемерницкий,Ростовская область,Россия
Верхнеуральск,Челябинская область,Россия
Верхнечусовские Городки,Пермский край,Россия
Верхнеяркеево,Республика Башкортостан,Россия
Верхние Ачалуки,Республика Ингушетия,Россия
Верхние Киги,Республика Башкортостан,Россия
Верхние Серги (Свердловская область),Свердловская область,Россия
Верхние Татышлы,Республика Башкортостан,Россия
Верхние Чебеньки (Оренбургская область),Оренбургская область,Россия
"Верхние Челны (Татарстан, Нижнекамский)",Республика Татарстан,Россия
Верхний Баскунчак,Астраханская область,Россия
Верхний Кани (Северная Осетия),Республика Северная Осетия - Алания,Россия
Верхний Карбуш (Омская область),Омская область,Россия
"Верхний Куранах (Якутия, Алданский р.)",Республика Саха,Россия
Верхний Мамон,Воронежская область,Россия
Верхний Сардык (Республика Башкортостан),Республика Башкортостан,Россия
Верхний Тагил,Свердловская область,Россия
Верхний Услон,Республика Татарстан,Россия
Верхний Уфалей,Челябинская область,Россия
Верхний Фиагдон (Алагирский район),Республика Северная Осетия - Алания,Россия
Верхняя Подстепновка,Самарская область,Россия
Верхняя Пышма,Свердловская область,Россия
Верхняя Салда,Свердловская область,Россия
Верхняя Синячиха (Свердловская область),Свердловская область,Россия
Верхняя Тойма,Архангельская область,Россия
Верхняя Тура,Свердловская область,Россия
Верхняя Хава,Воронежская область,Россия
Верховажье,Вологодская область,Россия
Верховье,Орловская область,Россия
Верхотурье,Свердловская область,Россия
Вершина Тёи (Республика Хакасия),Республика Хакасия,Россия
Веселая Лопань (Белгородская область),Белгородская область,Россия
Веселое (Курская область),Курская область,Россия
Веселый,Ростовская область,Россия
Веселый Первый (Оренбургская область),Оренбургская область,Россия
"Весенний (Оренбургская обл, Оренбургский",Оренбургская область,Россия
Весьегонск,Тверская область,Россия
Ветлуга,Нижегородская область,Россия
Ветлужский (Костромская область),Костромская область,Россия
Ветлужский (Нижегородская область),Нижегородская область,Россия
Вешенская,Ростовская область,Россия
Вешкайма,Ульяновская область,Россия
Вешки (Мытищи),Московская область,Россия
Видное,Московская область,Россия
Видяево (Мурманская область),Мурманская область,Россия
Визимьяры (Республика Марий Эл),Республика Марий Эл,Россия
Визинга,Республика Коми,Россия
Визябож (Республика Коми),Республика Коми,Россия
Викулово,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Виленка (Рязанская область),Рязанская область,Россия
Виллози,Ленинградская область,Россия
Виловатово,Республика Марий Эл,Россия
"Вильгорт (Пермский край, Чердынский р.)",Пермский край,Россия
Вилюйск,Республика Саха,Россия
Вилючинск,Камчатский край,Россия
Винзили,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Виноградовка (Амурская область),Амурская область,Россия
Виноградово,Московская область,Россия
Винодельненский (Ставропольский край),Ставропольский край,Россия
Вистино (Ленинградская обл.),Ленинградская область,Россия
Витязево,Краснодарский край,Россия
Вихоревка,Иркутская область,Россия
Вичуга,Ивановская область,Россия
Вишневогорск,Челябинская область,Россия
Владимиро-Александровское,Приморский край,Россия
"Владимировка (Новосибирская, Баганский)",Новосибирская область,Россия
Владимирская,Краснодарский край,Россия
Власиха,Московская область,Россия
ВНИИКОП (Тульская область),Тульская область,Россия
Внииссок,Московская область,Россия
Внуково,Московская область,Россия
Водный (Республика Коми),Республика Коми,Россия
"Водораздельное (Амурская, Сертышевский)",Амурская область,Россия
Вожега,Вологодская область,Россия
Вознесенка (Венгеровский район),Новосибирская область,Россия
"Вознесенка (Челябинская об, Сосновский)",Челябинская область,Россия
"Вознесеновка (Калмыкия, Целинный р.)",Республика Калмыкия,Россия
Вознесенское,Нижегородская область,Россия
Войсковицы (Ленинградская область),Ленинградская область,Россия
Волга (Некоузский район Ярославская обл),Ярославская область,Россия
Волгодонск,Ростовская область,Россия
Волгореченск,Костромская область,Россия
Волжск,Республика Марий Эл,Россия
Волжский,Волгоградская область,Россия
"Волжский (Нижегородская об, Кстовский р)",Нижегородская область,Россия
Волжский (Самарская область),Самарская область,Россия
Волжское (Астраханская область),Астраханская область,Россия
"Волковское (Свердловская об, Богданович)",Свердловская область,Россия
"Волна (Краснодарский кр., Темрюксккий р)",Краснодарский край,Россия
Волноваха,Донецкая Народная Республика,Россия
Волово,Липецкая область,Россия
Володарск,Нижегородская область,Россия
Володарский,Астраханская область,Россия
Володарское,Московская область,Россия
Володинское (Свердловская обл.),Свердловская область,Россия
Волоколамск,Московская область,Россия
Волоконовка,Белгородская область,Россия
Волосово,Ленинградская область,Россия
Волот,Новгородская область,Россия
Волоть (Тульская область),Тульская область,Россия
Волошово (Ленинградская область),Ленинградская область,Россия
Волхов,Ленинградская область,Россия
Волчанск,Свердловская область,Россия
Волчиха,Алтайский край,Россия
Вольгинский (Владимирская область),Владимирская область,Россия
Вольно-Надеждинское,Приморский край,Россия
Вольное (Республика Адыгея),Республика Адыгея,Россия
Вольск,Саратовская область,Россия
Воля,Воронежская область,Россия
Воргашор,Республика Коми,Россия
Воркута,Республика Коми,Россия
Воробьёвка,Воронежская область,Россия
"Воробьёво (Калужская, Малоярославецкий)",Калужская область,Россия
Воронежская,Краснодарский край,Россия
Вороновское поселение,Московская область,Россия
Воронцовка (Ейский район),Краснодарский край,Россия
"Воротынец (Нижегородская, Воротынский р)",Нижегородская область,Россия
Воротынск,Калужская область,Россия
"Ворошнево (Курская обл, Курский р.)",Курская область,Россия
Ворсино,Калужская область,Россия
Ворсма,Нижегородская область,Россия
"Ворша (Владимирская обл., Собинский р.)",Владимирская область,Россия
Воскресеновка (Липецкая область),Липецкая область,Россия
Воскресенск,Московская область,Россия
Воскресенское,Московская область,Россия
"Восток (Астраханская об, Енотаевский р)",Астраханская область,Россия
Восточное (Хабаровский край),Хабаровский край,Россия
Восточный,Кировская область,Россия
Восточный (Белореченский район),Краснодарский край,Россия
Восход,Московская область,Россия
Воткинск,Удмуртская Республика,Россия
Вохма,Костромская область,Россия
Вохтога,Вологодская область,Россия
Вочепший (Республика Адыгея),Республика Адыгея,Россия
Врангель,Приморский край,Россия
Всеволожск,Ленинградская область,Россия
Всходы (Московская область),Московская область,Россия
Второе Имангулово (Оренбургская область),Оренбургская область,Россия
Вуктыл,Республика Коми,Россия
Вурнары,Чувашская Республика,Россия
Выборг,Ленинградская область,Россия
Выгоничи,Брянская область,Россия
"Выездное (Нижегородская, Арзамасский р.)",Нижегородская область,Россия
Выкса,Нижегородская область,Россия
Выльгорт,Республика Коми,Россия
Выползово,Тверская область,Россия
Вырица,Ленинградская область,Россия
Выселки,Краснодарский край,Россия
Выскатка (Ленинградская область),Ленинградская область,Россия
Высокая Гора,Республика Татарстан,Россия
Высокий,Мурманская область,Россия
Высоково (городское поселение Сычёво),Московская область,Россия
Высоковск,Московская область,Россия
"Высокоключевой (Ленинград., Гатчинский)",Ленинградская область,Россия
Высотный (Оренбургская область),Оренбургская область,Россия
Высоцк (Ленинградская область),Ленинградская область,Россия
Вытегра,Вологодская область,Россия
Вычегодский,Архангельская область,Россия
Вышний Волочек,Тверская область,Россия
Вяземский,Хабаровский край,Россия
Вязники,Владимирская область,Россия
Вязовка (Оренбургский район),Оренбургская область,Россия
Вязьма,Смоленская область,Россия
Вяртсиля (Республика Карелия),Республика Карелия,Россия
Вятские Поляны,Кировская область,Россия
Гавердово (Рязанская область),Рязанская область,Россия
Гаврилов Посад,Ивановская область,Россия
Гаврилов-Ям,Ярославская область,Россия
"Гаврилово (Ленинградская, Выборгский р)",Ленинградская область,Россия
Гагарин,Смоленская область,Россия
Гаджиево,Мурманская область,Россия
"Гаевская (Ставроп. к.,Изобильненский р.)",Ставропольский край,Россия
Газимурский Завод,Забайкальский край,Россия
Газопровод (Липецкая область),Липецкая область,Россия
Гай,Оренбургская область,Россия
Гайдук,Краснодарский край,Россия
Галашки,Республика Ингушетия,Россия
Галёнки,Приморский край,Россия
Галич,Костромская область,Россия
Гальбштадт,Алтайский край,Россия
Гамово (Пермский край),Пермский край,Россия
"Гарболово (Ленинградская, Всеволжский р)",Ленинградская область,Россия
Гаровка-2 (Хабаровский край),Хабаровский край,Россия
Гарь-Покровское (Московская область),Московская область,Россия
Гатчина,Ленинградская область,Россия
Гать (Орловская область),Орловская область,Россия
Гафури (Республика Башкортостан),Республика Башкортостан,Россия
Гафурово (Республика Башкортостан),Республика Башкортостан,Россия
Гашун (Ростовская область),Ростовская область,Россия
Гвардейск,Калининградская область,Россия
Гдов,Псковская область,Россия
Геджух,Республика Дагестан,Россия
Геленджик,Краснодарский край,Россия
Геническ,Херсонская область,Россия
Георгиевка (Луганская область),Луганская Народная Республика,Россия
Георгиевск,Ставропольский край,Россия
Георгиевская (Ставропольский край),Ставропольский край,Россия
Герасимово (Курская область),Курская область,Россия
Гергебиль,Республика Дагестан,Россия
Герпегеж,Кабардино-Балкарская Республика,Россия
Гжель,Московская область,Россия
Гиагинская,Республика Адыгея,Россия
Гигант,Ростовская область,Россия
Гидростроитель,Иркутская область,Россия
Гидроторф,Нижегородская область,Россия
Гизель,Республика Северная Осетия - Алания,Россия
Гимры,Республика Дагестан,Россия
Глазов,Удмуртская Республика,Россия
Глазуновка,Орловская область,Россия
Глебовский,Московская область,Россия
Глинково (Сергиево-Посадский район),Московская область,Россия
Глубокий,Ростовская область,Россия
Глухово (городской округ Красногорск),Московская область,Россия
Глушково,Курская область,Россия
Глядино (Ленинградская область),Ленинградская область,Россия
"Глядково (Рязанская обл., Сасовский р.)",Рязанская область,Россия
Глядянское,Курганская область,Россия
Говорово,Московская область,Россия
Голая Пристань,Херсонская область,Россия
Голдино (Рязанская область),Рязанская область,Россия
Голицыно,Московская область,Россия
"Головино (Владимирская обл, Судогодский)",Владимирская область,Россия
Головчино,Белгородская область,Россия
Голубицкая,Краснодарский край,Россия
"Голубое (Московская об, Солнечногорский)",Московская область,Россия
Голышманово,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Горбатовка (Нижегородская обл.),Нижегородская область,Россия
Горбунки,Ленинградская область,Россия
Гордеевка,Брянская область,Россия
Гордеево (Калужская область),Калужская область,Россия
"Горелово (Нижегородская обл, г.о. Бор)",Нижегородская область,Россия
Горин,Хабаровский край,Россия
Горка-Муравьевская (Архангельская обл.),Архангельская область,Россия
Горки (Ленинский район),Московская область,Россия
Горки Ленинские,Московская область,Россия
Горки-10,Московская область,Россия
Горки-2,Московская область,Россия
Горловка,Донецкая Народная Республика,Россия
Горнозаводск,Пермский край,Россия
Горнореченский,Приморский край,Россия
Горноуральский,Свердловская область,Россия
Горные Ключи,Приморский край,Россия
Горный,Новосибирская область,Россия
"Горный (Тульская область, Воловский р.)",Тульская область,Россия
Горный Щит,Свердловская область,Россия
Горняк,Алтайский край,Россия
Город Тельмана (Ленинградская область),Ленинградская область,Россия
Городец,Нижегородская область,Россия
Городецкий (Нижегородская область),Нижегородская область,Россия
Городище (Владимирская область),Владимирская область,Россия
Городище (Волгоградская обл.),Волгоградская область,Россия
Городище (Пензенская обл.),Пензенская область,Россия
"Городищи (Владимирская, Петушинский)",Владимирская область,Россия
"Городня (Тверская обл., Конаковский р-н)",Тверская область,Россия
Городовиковск,Республика Калмыкия,Россия
Гороховец,Владимирская область,Россия
Горское (Луганская область),Луганская Народная Республика,Россия
Горшечное,Курская область,Россия
Горьковское,Омская область,Россия
Горячево (Ивановская область),Ивановская область,Россия
Горячеводский,Ставропольский край,Россия
Горячий Ключ,Краснодарский край,Россия
Гостагаевская,Краснодарский край,Россия
Гостилицы (Ленинградская область),Ленинградская область,Россия
"Гостищево (Белгородская, Яковлевский р)",Белгородская область,Россия
Гофицкое,Ставропольский край,Россия
Грабово (Пензенская область),Пензенская область,Россия
Грайворон,Белгородская область,Россия
Грамотеино,Кемеровская область,Россия
Грахово,Удмуртская Республика,Россия
Грачевка,Оренбургская область,Россия
Гребнево,Московская область,Россия
Гремячево (Нижегородская область),Нижегородская область,Россия
Гремячинск,Пермский край,Россия
Гремячье,Воронежская область,Россия
"Грибаново (Мос. об, Павлово-Посадский р)",Московская область,Россия
Грибановский,Воронежская область,Россия
Грибки (Мытищи),Московская область,Россия
Гривенская,Краснодарский край,Россия
Гривно (Московская область),Московская область,Россия
Григорково (Пушкинский район),Московская область,Россия
Григорополисская,Ставропольский край,Россия
"Григорьевка (Амурская об., Ромненский р)",Амурская область,Россия
Григорьевская (Краснодарский край),Краснодарский край,Россия
"Григорьевское (Ярославская, Ярославский)",Ярославская область,Россия
Грицовский,Тульская область,Россия
"Грушка (Карач.-Черкес,Адыге-Хабльский р)",Карачаево-Черкесская Республика,Россия
Грязи,Липецкая область,Россия
Грязное (Рязанская область),Рязанская область,Россия
Грязовец,Вологодская область,Россия
Губарево (Воронежская область),Воронежская область,Россия
Губаха,Пермский край,Россия
Губден,Республика Дагестан,Россия
Губкин,Белгородская область,Россия
Губкинский,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Гудермес,Чеченская Республика,Россия
Гуково,Ростовская область,Россия
"Гулик (Амурская обл., Зейский район)",Амурская область,Россия
Гулькевичи,Краснодарский край,Россия
Гуниб,Республика Дагестан,Россия
Гурбуки,Республика Дагестан,Россия
Гурзуф,Республика Крым,Россия
"Гурульба (Бурятия, Иволгинский район)",Республика Бурятия,Россия
Гурьевск (Калининградская область),Калининградская область,Россия
Гурьевск (Кемеровская обл.),Кемеровская область,Россия
Гусев,Калининградская область,Россия
"Гусельниково (Новосиб. об,Искитимский р)",Новосибирская область,Россия
Гусиное Озеро (Республика Бурятия),Республика Бурятия,Россия
Гусиноозерск,Республика Бурятия,Россия
Гусь-Хрустальный,Владимирская область,Россия
Гыда (Ямало-Ненецкий АО),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Давенда,Забайкальский край,Россия
Давлеканово,Республика Башкортостан,Россия
Давыдовка,Воронежская область,Россия
Давыдово (Орехово-Зуевский округ),Московская область,Россия
"Давыдовское (Московская обл, Истринский)",Московская область,Россия
Дагестанские Огни,Республика Дагестан,Россия
Дагомыс,Краснодарский край,Россия
Далматово,Курганская область,Россия
Дальнегорск,Приморский край,Россия
Дальнее Константиново,Нижегородская область,Россия
Дальнереченск,Приморский край,Россия
Данилов,Ярославская область,Россия
Даниловка (Волгоградская область),Волгоградская область,Россия
Данков,Липецкая область,Россия
Дарагановка (Ростовская область),Ростовская область,Россия
"Дарваг (Дагестан, Табасаранский район)",Республика Дагестан,Россия
Даргавс,Республика Северная Осетия - Алания,Россия
Дарна (Московская область),Московская область,Россия
Даровской,Кировская область,Россия
Даурия,Забайкальский край,Россия
Двубратский,Краснодарский край,Россия
"Двуреченск (Свердловская, Сысертский р.)",Свердловская область,Россия
Двуречье (Новосибирская область),Новосибирская область,Россия
Дебальцево,Донецкая Народная Республика,Россия
Дебесы,Удмуртская Республика,Россия
Девица (Семилукский район),Воронежская область,Россия
"Девятины (Вологодская об, Вытегорский р)",Вологодская область,Россия
Дегтярск,Свердловская область,Россия
Деденево (Московская область),Московская область,Россия
Дедовичи,Псковская область,Россия
Дедовск,Московская область,Россия
Демидов,Смоленская область,Россия
Демино (Ставропольский край),Ставропольский край,Россия
Демихово (Орехово-Зуевский район),Московская область,Россия
Демьянка,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Демьяново,Кировская область,Россия
Демьянское (Тюменская область),"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Демянск,Новгородская область,Россия
Денежниково (Московская обл Раменский р),Московская область,Россия
Депо,Вологодская область,Россия
Депутатский,Республика Саха,Россия
Дербент,Республика Дагестан,Россия
Дергаево (Раменский район),Московская область,Россия
Дергачи,Саратовская область,Россия
Державино (Оренбургская область),Оренбургская область,Россия
Десногорск,Смоленская область,Россия
Десятуха,Брянская область,Россия
Детчино,Калужская область,Россия
Джавгат (Республика Дагестан),Республика Дагестан,Россия
Джалиль,Республика Татарстан,Россия
Джалыково (Республика Калмыкия),Республика Калмыкия,Россия
Джанай (Астраханская область),Астраханская область,Россия
Джанкой,Республика Крым,Россия
"Джебарики-Хая (Якутия, Томпонский р.)",Республика Саха,Россия
Джейрах,Республика Ингушетия,Россия
Джингирик (Карачаево-Черкесская респ.),Карачаево-Черкесская Республика,Россия
Джубга,Краснодарский край,Россия
Дзержинск (ДНР),Донецкая Народная Республика,Россия
Дзержинск (Нижегородская область),Нижегородская область,Россия
Дзержинский,Московская область,Россия
Дзержинское,Красноярский край,Россия
Дивеево,Нижегородская область,Россия
Дивногорск,Красноярский край,Россия
Дивное,Ставропольский край,Россия
Дивноморское,Краснодарский край,Россия
Дигора,Республика Северная Осетия - Алания,Россия
Диево-Городище (Некрасовский район),Ярославская область,Россия
Дизьмино (Республика Удмуртия),Республика Ингушетия,Россия
Димитров,Донецкая Народная Республика,Россия
Димитровград,Ульяновская область,Россия
Динская,Краснодарский край,Россия
Дмитриановское (Ярославская область),Ярославская область,Россия
Дмитриев-Льговский,Курская область,Россия
Дмитриевка,Тамбовская область,Россия
"Дмитриевка (Уфимский р-н, Башкортостан)",Республика Башкортостан,Россия
Дмитриевская (Краснодарский край),Краснодарский край,Россия
Дмитров,Московская область,Россия
Дмитровка (Московская обл. Чеховский рн),Московская область,Россия
Дмитровск,Орловская область,Россия
Днепровская (Краснодарский край),Краснодарский край,Россия
Днепрорудное,Запорожская область,Россия
Дно,Псковская область,Россия
Добринка,Липецкая область,Россия
"Добровольное (Ставропольский, Ипатово)",Ставропольский край,Россия
Доброе,Липецкая область,Россия
Доброе (Республика Крым),Республика Крым,Россия
Доброполье,Донецкая Народная Республика,Россия
"Добрунь (Брянская область, Брянский р)",Брянская область,Россия
Добрянка,Пермский край,Россия
Доваторовка (Калининградская область),Калининградская область,Россия
Довольное,Новосибирская область,Россия
Докучаевск,Донецкая Народная Республика,Россия
Долаково,Республика Ингушетия,Россия
Долгодеревенское,Челябинская область,Россия
Долгое,Орловская область,Россия
Долгопрудный,Московская область,Россия
Долгоруково,Липецкая область,Россия
Должанская,Краснодарский край,Россия
Долинск,Сахалинская область,Россия
Долматово (Московская область),Московская область,Россия
Домбай,Карачаево-Черкесская Республика,Россия
Домбаровский (Оренбургская область),Оренбургская область,Россия
Домодедово,Московская область,Россия
Доможирово,Ленинградская область,Россия
Дондуковская,Республика Адыгея,Россия
Донецк (Ростовская обл.),Ростовская область,Россия
Донское,Ставропольский край,Россия
Донской,Тульская область,Россия
Доргели,Республика Дагестан,Россия
Дорогино (Республика Башкортостан),Республика Башкортостан,Россия
Дорогобуж,Смоленская область,Россия
Дорожный (Ростовская область),Ростовская область,Россия
Дорохово,Московская область,Россия
Досатуй (Забайкальский край),Забайкальский край,Россия
Дрезна,Московская область,Россия
"Дрожжино (Московская об, Ленинский р.)",Московская область,Россия
Дрокино (Красноярский край),Красноярский край,Россия
Дружковка,Донецкая Народная Республика,Россия
Дружная Горка,Ленинградская область,Россия
Дубёнки (Мордовия),Республика Мордовия,Россия
Дубинино (Красноярский край),Красноярский край,Россия
Дубки,Республика Дагестан,Россия
Дубки (Саратовская область),Саратовская область,Россия
Дубна (Московская область),Московская область,Россия
Дубна (Тульская область),Тульская область,Россия
