profession,company,vac_description,experience,region,country,company_staff_count,salary,education
Web дизайнер,ООО Информационно-медицинский центр,"['Adobe', 'уверенное владение', 'понимание', 'Figma']",3,Самарская область,Россия,,,
Senior/Flutter-разработчик,ТОО STS Smid Security,"['Clean Architecture', 'FastAPI', 'Flutter', 'REST API', 'Drift', 'Redis', 'first', 'realtime', 'API', 'riverpod', 'Celery', 'Hive', 'Clean', 'Dart', 'REST', 'Backend', 'BLoC', 'PostgreSQL', 'Architecture']",6,,Казахстан,,,
Веб-дизайнер,User Tech,"['Adobe XD', 'знание', 'Adobe', 'ДО', 'Sketch', 'Figma', 'XD']",1,Ленинградская область,Россия,,100000.0,
Продуктовый дизайнер Senior инвестиции,Outlines Technologies,,6,Московская область,Россия,,,
Младший дизайнер дизайн-системы,ПАО БАНК УРАЛСИБ,"['libraries', 'auto', 'Auto Layout', 'variables', 'layout', 'Figma', 'Component', 'понимание']",1,Московская область,Россия,,,
Мультидисциплинарный дизайнер (Middle),Империя Талантов,"['Типографика', 'композиция', 'понимание']",1,Московская область,Россия,,,
SEO-специалист,Парконика,,1,Ленинградская область,Россия,,165000.0,
Дизайнер сайтов на Tilda,MAXVAL Marketing&Consulting,"['Коммуникабельность', 'SEO', 'понимание', 'Пользователь ПК']",1,Калужская область,Россия,,,
Game QA Engineer,Леста Игры,"['понимание', 'engineer', 'QA']",3,,Беларусь,,,
Дизайнер продуктовых интерфейсов,Flyphant,"['анимации', 'Figma']",3,Московская область,Россия,,108000.0,
Дизайнер компьютерной графики,ФГБУ Федеральный центр подготовки спортивного резерва,"['map', 'знание', 'customer journey', 'Figma', 'CJM']",0,Московская область,Россия,,70000.0,
Web designer,ООО Контакт,,1,Ленинградская область,Россия,,,
Веб-дизайнер сайта на Tilda,ИП Гришин Егор Владимирович,[],3,Ленинградская область,Россия,,100000.0,
Графический дизайнер (мебель),ИП Есенеев Антон Сергеевич,['понимание'],3,Республика Татарстан,Россия,,75000.0,
Junior Flutter Developer (Strong),ТОО Magnum E-commerce Kazakhstan,,1,,Казахстан,,,
Руководитель группы разработки,ТНГ ГРУПП,"['Swagger', 'API', 'PHP', 'REST', 'REST API', 'Laravel', 'tech', 'OpenAPI']",3,Московская область,Россия,,250000.0,
Middle/Senior программист  Unreal Engine,ЛАЗЕРТАГ,"['понимание', 'C++']",3,Смоленская область,Россия,,120000.0,
Графический дизайнер | Middle+/Senior,CyberХ Community (ООО Рикис),,3,Нижегородская область,Россия,,100000.0,
Web-дизайнер (Middle),ONE Company,['знание'],1,Новосибирская область,Россия,,,
"Бизнес - аналитик, Головной офис, г. Минск",ОАО АСБ Беларусбанк,"['it', 'бизнес']",1,,Беларусь,,3500.0,
Менеджер по продукту/Product Manager,"Hello, Doc!",,3,Московская область,Россия,,,
Проектный менеджер,ТОО MultiBRAND COMPANY (Avatariya),"['понимание', 'геймификации']",3,,Казахстан,,,
"Старший Frontend-разработчик (React/Next. js) / Senior Frontend Developer (React/Next. js, офис)",ООО PROXY LTD,"['Next.js', 'JavaScript', 'знание', 'React', 'TypeScript', 'Hooks', 'понимание']",6,,Грузия,,,
Диджитал-дизайнер в иммерсивный театр-ресторан НАБЛЮДАТЕЛЬ,ООО Ника,"['знание', 'Adobe', 'Adobe Illustrator', 'Illustrator', 'Figma']",1,Московская область,Россия,,,
Golang developer,ООО Секьюрити Лаб,"['GORM', 'REST', 'Nginx', 'GOlang', 'SQL', 'Gin', 'HTTP', 'gRPC']",1,,Беларусь,,,
Дизайнер мобильных и кросс-платформенных приложений ДБО,ПАО ТРАНСКАПИТАЛБАНК,"['опыт проектирования', 'IOS', 'Проектирование', 'Web', 'Android']",1,Московская область,Россия,,,
Продуктовый дизайнер (B2C) в Управление продуктов и поддержки бизнеса,"ПАО ВТБ, Подразделения Поддержки и Контроля","['Android', 'IOS', 'знание']",3,Московская область,Россия,,,
Бизнес-аналитик,Sapiens solutions,"['Аналитика', 'бизнес', 'Бизнес-аналитика']",3,Московская область,Россия,,,
Product Owner,ООО Крайнет,['product owner'],3,,Беларусь,,,
QA Engineer (Tbilisi),Hdcart PTE,['юзабилити'],1,,,,5.0,
Product Designer (Design System Architect),ООО Гоуланг Технологии,[],3,Московская область,Россия,,,
Дизайнер дизайн-системы (Эксперт),ПАО БАНК УРАЛСИБ,,3,Московская область,Россия,,,
Content Manager (iGaming),ООО Альянс Регион,"['понимание', 'знание']",1,Московская область,Россия,,,
"Frontend-разработчик (React, TypeScript)",Электронная торговая площадка Газпромбанка,"['React', 'TypeScript', 'SPA', 'Frontend', 'SSR']",6,Московская область,Россия,,,
IOS разработчик,ПАУЭР,"['Git', 'Swift', 'CocoaPods']",3,Московская область,Россия,,,
"Продуктовый дизайнер в Cross Design Team, ВКонтакте","VK, ВКонтакте",[],3,Ленинградская область,Россия,,,
Lead Product Designer,OSMI IT,,3,Московская область,Россия,,,
Менеджер по сайту,АК БАРС ДОМ,['SEO'],1,Республика Татарстан,Россия,,,
Графический дизайнер [Маркетплейсы - ОФИС → Full-time],ООО Альфа Групп,"['знание', 'Adobe', 'Adobe Illustrator', 'Adobe Photoshop', 'Illustrator', 'Figma']",1,Московская область,Россия,,100000.0,
Художник / Дизайнер - 3D / 2D,ООО Геомакс Финанс,['Unity'],0,Московская область,Россия,,,
"Продуктовый дизайнер (Senior, B2B/SaaS)",ООО Джи Ди,,3,Нижегородская область,Россия,,,
Senior Brand / Web / Product Designer,ООО Е ГРУПП БЕЛ,"['уверенное владение', 'понимание', 'Figma']",3,,Беларусь,,,
Интернет-маркетолог / Digital маркетолог,ООО КонсалтсСити,['понимание'],3,Московская область,Россия,,180000.0,
Frontend Developer,ЗАО Уайт Бёрд,"['HTML', 'HTML/CSS', 'понимание', 'CSS']",1,,Беларусь,,,
2D-художник (GameDev),Be Nice games,"['effects', 'понимание']",1,Новосибирская область,Россия,,1100.0,
Художник-Видеомейкер (цифровое искусство),ООО Амдбай Трейдинг,['знание'],1,,Беларусь,,,
Graphic Designer \ Графический дизайнер (Креативный),ТОО Неткрэкер Текнолоджи Казахстан,,3,,Казахстан,,,
Графический дизайнер [Middle и выше] (Маркетплейсы - ОФИС),ООО Альфа Групп,"['знание', 'Adobe', 'Adobe Illustrator', 'Adobe Photoshop', 'Illustrator', 'Figma']",3,Московская область,Россия,,120000.0,
Руководитель отдела веб-дизайна,Вебпрактик,,3,Ростовская область,Россия,,,
Дизайнер цифровых продуктов в Альфа-Бизнес (Middle+ / Senior),Альфа-Банк,,3,Московская область,Россия,,,
Middle product designer,ТОО Техинвест проект,['понимание'],3,,Казахстан,,,
UXUI Designer (FinTech),STARTRIBE LTD. Разработка,,3,,Грузия,,,
Продуктовый дизайнер (Middle+/Senior) в VK,VK,,3,Московская область,Россия,,,
Unreal Engine Editor Tools Developer,ООО МАГ Девелопмент,,3,Московская область,Россия,,,
Руководитель отдела IT,ГАУ ЯНАО Методологический центр Ямолод,"['CMS', 'API', 'понимание']",3,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия,,250000.0,
Младший HR-менеджер,CreativePeople,,1,Московская область,Россия,,,
E-commerce Manager (категория: кофе) / Менеджер D2C-направления,ООО Лк-Прогресс,"['commerce', 'E-commerce']",3,,,,,
Интернет-маркетолог (Сегментация и управление контентом),Молодей,"['SEO', 'понимание']",6,Московская область,Россия,,,
Senior Frontend-разработчик (React),ИП Кудря Ольга Сергеевна,"['TypeScript', 'знание', 'JavaScript', 'React']",1,Свердловская область,Россия,,,
Менеджер IT-продукта,DNS Технологии,"['SQL', 'UML', 'BPMN', 'знание']",0,Приморский край,Россия,,,
SEO-специалист,WAISTLINE (ООО Линия Талии),"['Google Analytics', 'Google', 'console', 'search', 'Яндекс.Метрика']",1,Московская область,Россия,,75000.0,
"Маркетолог (B2B, промышленное оборудование)",Евразия Групп,['понимание'],1,,,,,
Тестировщик,ООО Транснефтьэнерго,"['Web frontend', 'знание', 'Backend', 'Jira', 'Web', 'опыт тестирования', 'Frontend']",3,Московская область,Россия,,,
Team Lead Frontend Engineer в Highload Video Streaming Startup,ООО ЧУБАККА,"['производительности', 'Frontend']",3,Московская область,Россия,,,
Графический дизайнер,ООО SILVER-PLAST,"['Adobe', 'Microsoft', 'office', 'corel']",1,,Узбекистан,,4500000.0,
Графический дизайнер,ТОО Combination (RA Kombinat),,3,,Казахстан,,550000.0,
Веб-дизайнер,Самолет Плюс (ООО Полипластгрупп),,1,Тульская область,Россия,,50000.0,
Веб-дизайнер,ЗАО СП.АРМ,,1,Ленинградская область,Россия,,,
Веб-дизайнер,ООО Эксбо Север,,1,Ленинградская область,Россия,,,
Веб-дизайнер / графический дизайнер,ООО Нильс,"['Adobe', 'Figma']",3,Владимирская область,Россия,,100000.0,
Веб-дизайнер (Tilda / Figma),ООО Рускомтехнологии,"['Ответственность', 'понимание']",1,Московская область,Россия,,,
Продуктовый дизайнер (веб),"ПАО Банк ПСБ, Бизнес и инфраструктура","['map', 'Information Architecture', 'Material Design', 'Hig', 'customer journey', 'material', 'юзабилити', 'User Flow', 'Architecture', 'user', 'понимание', 'Information']",3,Московская область,Россия,,,
Старший дизайнер / Веб-дизайнер,Anecole,"['SEO', 'Tilda']",1,Московская область,Россия,,110000.0,
Senior UX/UI дизайнер/Веб-дизайнер,BYTIME,"['UI', 'UX']",6,Московская область,Россия,,,
Веб-дизайнер,ООО Стандарт,,1,Хабаровский край,Россия,,72500.0,
Графический дизайнер / Веб-дизайнер / Дизайнер в онлайн-школу / UI-дизайнер,BIRCH,,1,Московская область,Россия,,80000.0,
Веб-дизайнер в отдел маркетинга,Центр качества образования,,3,Московская область,Россия,,,
Веб-дизайнер (IT проект),ООО Оператор Информационных Систем,,3,Республика Татарстан,Россия,,75000.0,
Дизайнер,ООО Эволют Клаб,"['Web', 'Android', 'IOS']",1,Московская область,Россия,,65000.0,
Веб-дизайнер (UX/UI),Компания Апогей (Техподдержка 1С),,1,Красноярский край,Россия,,80000.0,
Веб-дизайнер,ООО РЕГИОН,"['Web', 'Дизайн', 'Графический дизайн']",3,Республика Башкортостан,Россия,,100000.0,
Веб-дизайнер,"Югра, Телерадиокомпания","['Контент', 'Adobe', 'Adobe Illustrator', 'Illustrator', 'Figma']",1,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия,,,
Веб-дизайнер,ООО ТАО,,3,Ленинградская область,Россия,,,
Веб-дизайнер,Яндекс Крауд: Контент,,1,Белгородская область,Россия,,,
Веб-дизайнер,Яндекс Крауд: Контент,,1,Чувашская Республика,Россия,,,
Веб-дизайнер,Яндекс Крауд: Контент,,1,Ставропольский край,Россия,,,
Веб-дизайнер,VVP Group,,3,Московская область,Россия,,,
Дизайнер инфографики/Digital-дизайнер,ООО Премиум Кеа Груп,,3,Московская область,Россия,,125000.0,
Младший веб-дизайнер,"Текарт, маркетинговая группа","['Adobe', 'Figma', 'Стремление к развитию', 'знание']",0,Тульская область,Россия,,,
Графический дизайнер/веб-дизайнер,ООО Термика,"['InDesign', 'Adobe', 'Microsoft', 'Adobe Illustrator', 'Adobe Photoshop', 'уверенное владение', 'Illustrator', 'Figma', 'Adobe InDesign']",1,Московская область,Россия,,,
Ведущий дизайнер,АВТОДОК (Autodoc),"['InDesign', 'Adobe', 'Adobe Illustrator', 'Adobe Photoshop', 'Illustrator', 'Figma', 'Adobe InDesign']",3,Московская область,Россия,,165000.0,
Графический дизайнер,Студия 313,"['InDesign', 'знание', 'Illustrator', 'Web']",1,Краснодарский край,Россия,,75000.0,
Графический дизайнер,АО NBU INVEST GROUP,,3,,Узбекистан,,8500000.0,
Графический дизайнер,Восток Бизнес Групп,"['Tilda', 'InDesign', 'знание', 'Adobe', 'Adobe Illustrator', 'Adobe Photoshop', 'уверенное владение', 'Illustrator', 'Figma', 'Web']",1,Московская область,Россия,,140000.0,
Веб-дизайнер,ТОО Специализированный учебный центрКазпроф,,1,,Казахстан,,450000.0,
Web-дизайнер,ООО RCG,,1,,,,60000.0,
Графический дизайнер,4К digital,,1,Московская область,Россия,,,
Графический дизайнер,ООО РТ,,1,Московская область,Россия,,,
Веб-дизайнер/UX/UI-дизайнер,WILIX,"['UI', 'UX', 'Анализ']",1,Краснодарский край,Россия,,,
Веб-дизайнер,ООО ДОМ МЕБЕЛИ,,1,Новгородская область,Россия,,,
Графический/коммуникационный дизайнер,Davines Russia,"['Digital', 'InDesign', 'Adobe', 'Adobe Photoshop', 'уверенное владение', 'E-commerce', 'Illustrator', 'Figma', 'понимание', 'POS', 'commerce']",3,Московская область,Россия,,150000.0,
Веб-менеджер (1c Bitrix),TERMOLAND,,3,Московская область,Россия,,,
Коммуникационный дизайнер,АО МТТ (MTC Exolve),['понимание'],1,Московская область,Россия,,,
Графический дизайнер,Librico,,3,,Россия,,80000.0,
Digital-дизайнер / Мультидизайнер,Фотосклад.ру,,1,Ленинградская область,Россия,,,
Дизайнер (маркетинг),Вира групп,"['InDesign', 'suite', 'Adobe', 'Illustrator', 'Figma']",1,Новосибирская область,Россия,,,
UX/UI-дизайнер,ITACWT,[],1,,,,1450.0,
UX/UI-дизайнер,АО Сараффан.Радио,['Дизайн'],6,Московская область,Россия,,225000.0,
Графический дизайнер,ООО AKMAL UMID BARAKA,"['corel', 'знание', 'Adobe', 'draw', 'Adobe Photoshop', 'Corel Draw']",3,,Узбекистан,,11000000.0,
Графический дизайнер,ТОО Бизнес парк Станица,,1,,Казахстан,,425000.0,
Web-дизайнер,АО NOMAD insurance,"['engine', 'знание', 'Знание основ SEO', 'optimization', 'SEO', 'search']",1,,Казахстан,,,
Графический дизайнер,АО Элис,,3,Челябинская область,Россия,,70000.0,
Графический дизайнер,ГБУК г. Москвы ПКиО Сокольники,,3,Московская область,Россия,,120000.0,
UX/UI-дизайнер,ГЛОБАЛ ПЭЙ,,3,Ленинградская область,Россия,,200000.0,
Дизайнер iGaming (Mobile Games),ИП Гладунова Евгения Сергеевна,,1,Волгоградская область,Россия,,1250.0,
UX/UI-дизайнер,ООО Твоё Лайв,,1,Московская область,Россия,,92500.0,
"IT-менеджер / Веб-разработчик (PHP, MODX, JS)",Меди Экспо,"['внимательность', 'Внимательность к деталям', 'Illustrator', 'Figma', 'Web']",1,Московская область,Россия,,80000.0,
"Веб дизайнер (фигма, фотошоп, корел)",ИП Архипов Евгений Петрович,,6,Московская область,Россия,,199500.0,
UX/UI-дизайнер / Веб-дизайнер на редизайн сайта,ООО Армада-Групп,['UX'],1,Республика Татарстан,Россия,,,
Графический дизайнер,Альфа-Мебель,,1,Республика Саха,Россия,,70000.0,
Продуктовый дизайнер мобильного приложения,БКС Банк IT & Digital,"['Product Design', 'UI']",3,Московская область,Россия,,,
UX/UI-дизайнер / Web дизайнер в офис,ООО Норские резиденции,,1,Ярославская область,Россия,,85000.0,
Веб-дизайнер,Quadro Expert,"['AI', 'под задачи', 'UI', 'UX']",1,Московская область,Россия,,1250.0,
Веб-дизайнер,ООО Ростелеком Информационные Технологии,[],1,Московская область,Россия,,,
Продуктовый дизайнер (UX/UI),ГЛОБАЛ ПЭЙ,,6,Московская область,Россия,,300000.0,
UX/UI дизайнер,TutorPlace,"['UI', 'UX', 'понимание']",1,Ленинградская область,Россия,,70000.0,
Дизайнер в онлайн - школу,ООО Матита,"['Tilda', 'Zero Block', 'Adobe', 'Adobe Photoshop', 'block']",1,Ленинградская область,Россия,,60000.0,
Дизайнер (уровень Middle),ТОО ChatApp (ЧатАпп),"['UX', 'UI', 'понимание', 'UI/UX']",1,,Казахстан,,525000.0,
Web-дизайнер (UI/UX),ФГБУ Редакция Российской газеты,"['юзабилити', 'UX', 'понимание', 'UI']",3,Московская область,Россия,,,
Графический дизайнер,ООО Онпоинт,['Digital'],1,Московская область,Россия,,,
Ведущий дизайнер Дирекции маркетинга,Издательство «Национальное образование»,,3,Московская область,Россия,,150000.0,
Веб-дизайнер,ИП Лыкова Анастасия Александровна,,1,Самарская область,Россия,,50000.0,
Веб-мастер,BrandLab,,3,Московская область,Россия,,,
Графический дизайнер,ООО Цифровой Лев,"['InDesign', 'Adobe', 'effects', 'cloud', 'Illustrator', 'Figma']",3,,,,,
Ведущий веб-дизайнер,ООО Ростелеком Информационные Технологии,[],3,Московская область,Россия,,,
Графический дизайнер,ООО AMERIKA TEXNOLOGIYALAR UNIVERSITETI,"['motion', '3d', 'Ответственность']",1,,Узбекистан,,,
Веб-дизайнер (Figma + нейросети),ООО Автоматизация Бизнеса,"['Дизайн', 'midjourney', 'FLUX', 'Дизайн-системы', 'макеты', 'Figma']",0,Краснодарский край,Россия,,35000.0,
Графический дизайнер,Ассоциация Коммуникационных Агентств России,"['designer', 'Google', 'Web', 'HTML', 'понимание']",1,Московская область,Россия,,,
Графический дизайнер,ТОО Казрост,,1,,,,,
Ведущий UX/UI дизайнер (графический уклон),АО БАЗАР,"['Figma', 'уверенное владение']",3,Московская область,Россия,,,
Дизайнер инфографики для маркетплейсов (Ozon / Wildberries),ИП Симикян Андраник Артурович,['Figma'],1,Московская область,Россия,,90000.0,
Графический дизайнер,ENERGOMAXGROUP,['Cinema 4d'],1,,Узбекистан,,,
Коммуникационный дизайнер,Практика,['понимание'],1,Свердловская область,Россия,,,
Графический дизайнер в офис (г. Чебоксары),ООО Рише,"['фотография', '3d']",1,Чувашская Республика,Россия,,70000.0,
Дизайнер,ООО Оками,,3,Московская область,Россия,,100000.0,
Графический дизайнер,VVP Group,['знание'],1,Московская область,Россия,,,
Графический дизайнер,ООО «ЛСР»,"['Дизайн', 'Графический дизайн', 'Грамотность', 'уверенное владение']",1,Ленинградская область,Россия,,,
Графический дизайнер,Форвард,['знание'],3,Новосибирская область,Россия,,,
Графический дизайнер (маркетплейсы),WildSpace,"['Adobe', 'Adobe Photoshop']",0,Ленинградская область,Россия,,75250.0,
Графический дизайнер/Веб-Дизайнер,ИП Еремочкина Наталья Александровна,,1,Алтайский край,Россия,,45000.0,
Графический / Motion-дизайнер,ООО Онпоинт,"['motion', 'Медиа']",1,Московская область,Россия,,,
Продуктовый Web-дизайнер / UI/UX-дизайнер,ООО Лидстар,,6,Удмуртская Республика,Россия,,200000.0,
UX/UI-дизайнер,Кизилов Илья Георгиевич,['UX'],1,Московская область,Россия,,100000.0,
UX/UI-дизайнер,ТОО Ломбард Деньги населению,"['UI', 'UX']",1,,Казахстан,,,
Дизайнер сложных интерфейсов / UX/UI дизайнер,ROSSKO,"['UI', 'UX', 'ДО']",3,Московская область,Россия,,250000.0,
Менеджер веб-проектов / аккаунт-менеджер,Феррум Студио,['Web'],1,Ленинградская область,Россия,,85000.0,
Стажёр-дизайнер продукта,"ПАО Банк ПСБ, Старт карьеры",,0,Московская область,Россия,,,
UX/UI Дизайнер,Скилла Работа,"['UI', 'UX']",3,Ленинградская область,Россия,,100000.0,
Дизайнер рекламных креативов,WildSpace,"['Adobe', 'Adobe Photoshop']",0,Московская область,Россия,,,
UX/UI-дизайнер,ЗАО «Коммерческий Банк КСБ»,"['знание', 'инструменты', 'документации', 'Miro', 'UX', 'понимание']",1,,Кыргызстан,,,
Графический дизайнер,ООО жак Арно,,1,Московская область,Россия,,50000.0,
Дизайнер,ПАО Ростелеком,"['UI', 'UX']",1,Московская область,Россия,,150000.0,
Графический дизайнер,ООО Вертекс,,1,Нижегородская область,Россия,,60000.0,
Графический дизайнер,Терминус,"['Adobe', 'InDesign', 'Adobe Photoshop', 'Figma']",1,Московская область,Россия,,100000.0,
Дизайнер (Graphic / UI / Creative),ООО ПРАС,"['Adobe', 'effects', 'Illustrator', 'Figma', 'компоненты']",1,,Беларусь,,,
Графический дизайнер,ООО ПО Оборонхим,['Ответственность'],1,Московская область,Россия,,,
Веб-технолог/Frontend-разработчик,"ООО «ОФИСМАГ», IT","['HTML', 'JQuery', 'CSS', 'Figma']",1,Воронежская область,Россия,,180000.0,
Дизайнер маркетолог,ТОО Агротоп,"['AI', 'инструменты', 'corel']",1,,Казахстан,,,
Дизайнер графики,Клиника доктора Минутко,"['Wordpress', 'Elementor', 'уверенное владение', 'Figma', 'Web']",1,Калужская область,Россия,,70000.0,
Моушн-дизайнер,ТОО Каз Нью Электроникс,"['Skeleton', 'AI', 'blender', '3d']",3,,Казахстан,,475000.0,
Product дизайнер,ТОО Documentolog,,1,,,,900000.0,
Графический дизайнер,PARLY,"['InDesign', 'corel', 'Adobe', 'Adobe Photoshop', 'draw', 'Illustrator', 'Corel Draw']",3,Московская область,Россия,,100000.0,
Web-дизайнер,РТС-тендер,,3,Московская область,Россия,,,
Графический дизайнер,Studia 54,,1,Ленинградская область,Россия,,95000.0,
Руководитель отдела веб-дизайна,Вебпрактик,"['Adobe XD', 'Motion design', 'знание', 'Adobe', 'Adobe Illustrator', 'Sketch', 'Adobe Photoshop', '3d', 'графика', 'motion', 'Illustrator', 'Figma', 'Pixso', 'XD']",3,Ростовская область,Россия,,,
Продуктовый дизайнер,ООО 24 ТТЛ,"['HTML', 'понимание']",1,Московская область,Россия,,,
Графический дизайнер,Revyline,,1,Московская область,Россия,,135000.0,
Графический дизайнер,ООО Таванг,"['Adobe', 'понимание', 'Illustrator', 'Figma']",1,,Беларусь,,1800.0,
Дизайнер-маркетолог,ТОО K A A N (сеть супермаркетов FIRKAAN),"['Adobe', 'Google Analytics', 'Adobe Photoshop', 'Canva', 'Яндекс.Метрика', 'Google', 'Illustrator', 'Figma', 'понимание']",1,,Казахстан,,200000.0,
Project manager (веб проекты),АНО Национальные приоритеты,"['Постановка задач', 'Коммуникабельность']",1,Московская область,Россия,,,
Графический дизайнер,ТОО Royal Petrol,['Стрессоустойчивость'],1,,Казахстан,,,
Web-дизайнер\Веб-дизайнер,ООО Элком,"['знание', 'Adobe', 'Adobe Photoshop', 'Illustrator', 'Figma']",1,Ивановская область,Россия,,55000.0,
Графический дизайнер (digital + оффлайн),Lady Stretch,"['corel', 'Adobe', 'Adobe Illustrator', 'Adobe Photoshop', 'draw', 'Illustrator', 'Figma', 'Corel Draw']",1,Республика Татарстан,Россия,,65000.0,
Brand-designer / Senior Графический дизайнер,ООО Айти Ворлд,"['Adobe', 'Adobe Photoshop', 'Illustrator', 'Figma']",3,Ленинградская область,Россия,,,
Графический дизайнер/Веб-дизайнер,ООО Вет Сити Центр,"['Дизайн', 'автолейауты', 'макеты', 'Figma']",1,Московская область,Россия,,120000.0,
Графический Дизайнер в Ресторан,FORT VERNYI FAMILY (ИП КАРТАНБАЕВА Э.Ш.),['Дизайн'],1,,Казахстан,,600000.0,
Графический дизайнер бренда VOIS (middle/senior),VOIS (ООО Рокет Лаунч),"['знание', 'Adobe', 'Adobe Photoshop', 'уверенное владение', 'Illustrator', 'Figma']",1,Московская область,Россия,,,
Packaging Designer \ Дизайнер Упаковки и полиграфии,ООО ДЖИ М ВАЙ Консалтинг Групп / GMY Consulting Group,,3,,Беларусь,,3950.0,
Product Designer / Продуктовый дизайнер в iGMS,Pre-Interviews,,1,Московская область,Россия,,4000.0,
Графический дизайнер,ТОО Edukey.kz,,1,,Казахстан,,,
Графический дизайнер - видеомейкер,ООО Антикор Дв,[],1,Приморский край,Россия,,65000.0,
Дизайнер рекламных креативов,WildSpace,"['Adobe', 'Adobe Photoshop']",0,Свердловская область,Россия,,81150.0,
Веб-дизайнер сайтов на Тильда (+Figma) в офис в Воронеже,Spacemilk,"['Обучаемость', 'Ответственность', 'знание']",1,Воронежская область,Россия,,,
UI/UX дизайнер в Stylemix,ООО WEB THEMES DEVELOPMENT,['UI'],3,,Узбекистан,,,
Графический дизайнер,SteadyControl,,1,Воронежская область,Россия,,,
Web-дизайнер (Tilda no-code developer),WGG Marketing Management LLC,"['Tilda', 'Usability', 'понимание', 'Figma']",1,,Беларусь,,,
Дизайнер в офис,OLEXDECO (ИП Бородина Светлана Александровна),,3,Московская область,Россия,,,
Графический дизайнер,ООО НПО Группа компаний машиностроения и приборостроения,"['midjourney', 'InDesign', 'suite', 'Adobe', 'diffusion', 'Stable Diffusion', 'уверенное владение', 'Illustrator', 'Stable']",3,Московская область,Россия,,,
Веб-дизайнер,АО Московский ювелирный завод,[],3,Московская область,Россия,,,
Дизайнер (маркетплейсы),MARE JOGGI CULLIN CUDLER,,1,Московская область,Россия,,,
Старший графический дизайнер,МойСклад,"['designer', 'Adobe', 'effects', 'Adobe After Effects', 'Google', 'Web', 'баннеры']",3,Московская область,Россия,,,
Дизайнер,ТОО Edukey.kz,,1,,Казахстан,,,
UX/UI-дизайнер,ООО Udevs,"['UI', 'UX', 'понимание', 'Figma']",3,,Узбекистан,,,
"Графический дизайнер, SMM, Web",АceDigital,['понимание'],1,Московская область,Россия,,,
Графический дизайнер,ООО Юнт-Прод,"['corel', 'знание', 'Adobe', 'Adobe Illustrator', 'draw', 'Illustrator', 'Figma', 'Corel Draw']",1,Владимирская область,Россия,,,
Промышленный дизайнер,ООО ИПК Докакомпозит,,1,Нижегородская область,Россия,,,
Моушн-дизайнер,НАО КАЗАХСКИЙ НАЦИОНАЛЬНЫЙ ЖЕНСКИЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ,"['знание', '3d', 'effects', 'анимации', 'Illustrator']",1,,Казахстан,,,
Графический/веб дизайнер (карточки для МП/веб),YraganDesign,"['InDesign', 'Adobe', 'effects', 'уверенное владение', 'Illustrator', 'Figma']",1,Московская область,Россия,,,
Concept Designer (Consumer Products) \ Дизайнер концепцией Товаров и Продукции,ООО ДЖИ М ВАЙ Консалтинг Групп / GMY Consulting Group,"['AI', 'Adobe', 'Adobe Illustrator', 'Adobe Photoshop', 'уверенное владение', 'Illustrator']",3,,Беларусь,,3950.0,
Senior UX/UI-дизайнер,ООО Хьюнет,['Дизайн'],3,Московская область,Россия,,,
Веб-дизайнер,TOP MAN DIGITAL,"['понимание', 'процессы']",1,Краснодарский край,Россия,,70000.0,
Mobile UX/UI-дизайнер,MaxLine,['UX'],3,,Беларусь,,,
Ведущий дизайнер на маркетплейсы,Seller.ru,"['ozon', 'wildberries']",1,Свердловская область,Россия,,100000.0,
Веб-дизайнер / Разработчик (Bitrix & Tilda),ООО ГИФТ,"['Adobe', 'Adobe After Effects', 'tools', 'effects']",1,Московская область,Россия,,,
"Графический дизайнер (упаковка, полиграфия, digital)",Ленель,,1,Новосибирская область,Россия,,60000.0,
Графический дизайнер SELA,Melon Fashion Group. Офис,,3,Ленинградская область,Россия,,,
Веб-дизайнер (тимлид),Insaim,"['Make', 'code', 'Figma']",3,Республика Северная Осетия - Алания,Россия,,,
Дизайнер,Coral Club,['опыт проектирования'],3,Московская область,Россия,,,
"UX/UI-дизайнер (Junior+, Middle)",ТОО Biometric(Биометрик),"['b2b', 'Saas', 'Figma']",1,,Казахстан,,,
Старший продуктовый дизайнер,X5 Tech,['понимание'],3,Московская область,Россия,,,
Веб-дизайнер / верстальщик (в офисе),ООО Альпарк,"['PDF', 'Illustrator']",1,Московская область,Россия,,,
Веб-дизайнер,ООО Бизнес Школа Финансов и Менеджмента,,1,,,,110000.0,
Дизайнер,MOODBOARD MAGAZINE,"['Дизайн', 'моушн', 'Видео', 'понимание']",3,Московская область,Россия,,,
Графический дизайнер в рекламное агентство (мидл),Доктор Юнг,,1,Московская область,Россия,,100000.0,
UX/UI Designer / Дизайнер интерфейсов / Web & Mobile,Пуск,"['Framer', 'ProtoPie', 'Figma']",1,Московская область,Россия,,,
Старший дизайнер продукта (Senior Product Designer),АО Интернет Проекты,"['управление', 'Email']",3,Ленинградская область,Россия,,251900.0,
Веб-дизайнер,СВОЙ,,1,Московская область,Россия,,,
Дизайнер,ALP GROUP,['понимание'],3,Московская область,Россия,,,
Специалист по техническому сопровождению обучения. Графический и веб-дизайнер,Финансовый университет при Правительстве РФ,,3,Московская область,Россия,,,
